timestamp,frame_id,packet_type,throttle,brake,steering,speed,gear,rpm,drs,position_x,position_y,position_z
2025-12-28T17:53:43.601790,2974033210,6,51,0,0.0,1,0,1023,0,,,
2025-12-28T17:53:43.796124,3041142086,0,,,,,,,,0.0,-1270.06,-0.0
2025-12-28T17:53:43.798558,3041142086,6,51,0,0.0,0,0,61951,0,,,
2025-12-28T17:53:43.893781,3074696525,0,,,,,,,,0.0,-4877.0,-0.0
2025-12-28T17:53:43.896104,3074696525,6,51,0,0.0,0,0,59391,0,,,
2025-12-28T17:53:43.996087,3108250964,0,,,,,,,,0.0,-17940.0,-0.0
2025-12-28T17:53:43.998552,3108250964,6,51,0,0.0,0,0,57343,0,,,
2025-12-28T17:53:44.098569,3141805402,0,,,,,,,,0.0,-80871.99,-0.0
2025-12-28T17:53:44.100958,3141805402,6,51,0,0.0,0,0,55295,0,,,
2025-12-28T17:53:44.306090,3208914278,0,,,,,,,,0.0,-2658751.75,-0.0
2025-12-28T17:53:44.308546,3208914278,6,51,0,0.0,0,0,51199,0,,,
2025-12-28T17:53:44.405960,3242468717,0,,,,,,,,0.0,-23604222.0,-0.0
2025-12-28T17:53:44.408329,3242468717,6,51,0,0.0,0,0,49151,0,,,
2025-12-28T17:53:44.509235,3276023155,0,,,,,,,,0.0,-174936048.0,-0.0
2025-12-28T17:53:44.511658,3276023155,6,51,0,0.0,34816,-120,48127,136,,,
2025-12-28T17:53:44.610506,3309577594,0,,,,,,,,0.0,-1548484480.0,-0.0
2025-12-28T17:53:44.612920,3309577594,6,51,0,0.0,47104,56,47359,184,,,
2025-12-28T17:53:44.822364,3376686471,0,,,,,,,,0.0,-258570436608.0,-0.0
2025-12-28T17:53:44.824774,3376686471,6,51,0,0.0,33792,3,46335,64,,,
2025-12-28T17:53:44.917852,3410240909,0,,,,,,,,0.0,-3242901372928.0,-0.0
2025-12-28T17:53:44.920329,3410240909,6,51,0,0.0,37376,17,46335,192,,,
2025-12-28T17:53:45.020708,3443795347,0,,,,,,,,0.0,-49145159090176.0,-0.0
2025-12-28T17:53:45.023004,3443795347,6,51,0,0.0,49664,65,46079,127,,,
2025-12-28T17:53:45.121891,3477349787,0,,,,,,,,0.0,-1245780899790848.0,-0.0
2025-12-28T17:53:45.124396,3477349787,6,51,0,0.0,50944,71,46335,63,,,
2025-12-28T17:53:45.224194,3510904224,0,,,,,,,,0.0,-1.981154811759821e+16,-0.0
2025-12-28T17:53:45.226649,3510904224,6,51,0,0.0,50944,71,46335,63,,,
2025-12-28T17:53:45.326962,3544458663,0,,,,,,,,0.0,-4.3783429191368704e+17,-0.0
2025-12-28T17:53:45.329356,3544458663,6,51,0,0.0,50688,69,46591,191,,,
2025-12-28T17:53:45.426511,3578013100,0,,,,,,,,0.0,-6.251558682987856e+18,-0.0
2025-12-28T17:53:45.523395,3578013100,6,51,0,0.0,50688,69,46591,191,,,
2025-12-28T17:53:45.535627,3611567540,0,,,,,,,,0.0,-3.070103514134746e+20,-0.0
2025-12-28T17:53:45.538151,3611567540,6,51,0,0.0,50944,70,46847,255,,,
2025-12-28T17:53:45.631197,3645121978,0,,,,,,,,0.0,-7.716647182571749e+21,-0.0
2025-12-28T17:53:45.633648,3645121978,6,51,0,0.0,51200,71,46847,191,,,
2025-12-28T17:53:45.835941,3678676417,0,,,,,,,,0.0,-3.440594110619967e+23,-0.0
2025-12-28T17:53:45.838442,3678676417,6,51,0,0.0,51712,74,47103,127,,,
2025-12-28T17:53:45.855659,3712230855,0,,,,,,,,0.0,-8.571980033663192e+24,-0.0
2025-12-28T17:53:45.858174,3712230855,6,51,0,0.0,53760,82,47359,127,,,
2025-12-28T17:53:45.938378,3745785293,0,,,,,,,,0.0,-2.4548748079875156e+26,-0.0
2025-12-28T17:53:45.940926,3745785293,6,51,0,0.0,60160,107,47615,63,,,
2025-12-28T17:53:46.040749,3779339732,0,,,,,,,,0.0,-1.230988597763434e+28,-0.0
2025-12-28T17:53:46.043357,3779339732,6,51,0,0.0,0,-128,48127,0,,,
2025-12-28T17:53:46.143211,3812894170,0,,,,,,,,0.0,-3.757824639900795e+29,-0.0
2025-12-28T17:53:46.145725,3812894170,6,51,0,0.0,0,-128,48895,0,,,
2025-12-28T17:53:46.245596,3846448608,0,,,,,,,,0.0,-1.2687336768700221e+31,-0.0
2025-12-28T17:53:46.248118,3846448608,6,51,0,0.0,0,-128,49407,0,,,
2025-12-28T17:53:46.353290,3880003047,6,51,0,0.0,0,-128,49919,0,,,
2025-12-28T17:53:46.450386,3913557485,0,,,,,,,,0.0,-2.7105536483500037e+34,-0.0
2025-12-28T17:53:46.452870,3913557485,6,51,0,0.0,0,-128,50687,0,,,
2025-12-28T17:53:46.552756,3947111923,0,,,,,,,,0.0,-8.607651019412107e+35,-0.0
2025-12-28T17:53:46.555279,3947111923,6,51,0,0.0,0,-128,51199,0,,,
2025-12-28T17:53:46.655159,3980666362,0,,,,,,,,0.0,-5.439190067097919e+37,-0.0
2025-12-28T17:53:46.657686,3980666362,6,51,0,0.0,0,-128,51967,0,,,
2025-12-28T17:53:46.757602,4014220800,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:46.760088,4014220800,6,51,0,0.0,0,-128,52735,0,,,
2025-12-28T17:53:46.864799,4047775238,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:46.867251,4047775238,6,51,0,0.0,0,-128,53503,0,,,
2025-12-28T17:53:46.962342,4081329676,0,,,,,,,,0.0,0.0,-0.0
